String,Dim1,Dim2
She is happy,229.84502207964283,0.40254403227715096
He feels joy,274.088622859185,0.4571957966294655
They are delighted,209.53392506803524,0.3780755206189905
She is full of bliss,247.15264951782422,0.42398296938405666
He is cheerful,289.9186027122165,0.4766311787554425
They radiate positivity,304.6147231651262,0.4947369030337545
She experiences pure happiness,257.74315791543586,0.43720973590574763
The cat sleeps,534.904521343792,0.17353679350368711
The dog is napping,536,0.2125041428056469
She rests peacefully,203.4463197835551,-0.39180558445981606
He is in deep sleep,38.117593448146806,-0.9616380275439536
They are dozing off,37.96015131697315,-1
The baby sleeps soundly,213.5346399068349,-0.3787253944795572
Nighttime brings quiet dreams,189.1160595801969,-0.4114385442958376
She reads a book,36.806814008477865,1
He studies for his exam,0,0.9140452165612112
They learn new concepts,190.44735999333483,0.35444437318196087
She takes notes in class,22.746753023460293,0.9649741828200262
He reviews his textbook,8.835188982384915,0.9334193824557597
They focus on their studies,174.77986317209562,0.3370434325424023
