String,Dim1,Dim2
She is happy,379.6598791475973,1
He feels joy,362.59725400457666,0.05799282792060212
They are delighted,476.66590389016017,-0.25167937774635085
She is full of bliss,301.5,0.3599070660134349
He is cheerful,122.57780320366133,0.002717308954997666
They radiate positivity,148.87185354691076,0.26002323349664125
She experiences pure happiness,221.6212814645309,-0.0839133289560079
The cat sleeps,105.0228832951945,0.19666649830799532
The dog is napping,232.96681922196797,0.03148643870902568
She rests peacefully,164.3186498855835,-0.8066973079448457
He is in deep sleep,328.92477116704805,-0.5118137279660588
They are dozing off,536,0.8489822718319107
The baby sleeps soundly,85.16819221967964,-0.0881155613919895
Nighttime brings quiet dreams,470.6864988558353,-1
She reads a book,465.0137299771167,-0.6172735996767513
He studies for his exam,207.84181922196797,0.10219708066063937
They learn new concepts,0,0.2580837416031112
She takes notes in class,352.63157894736844,-0.24327491287438763
He reviews his textbook,384.675057208238,-0.8041113187534724
They focus on their studies,11.192219679633867,0.1268447901409162
