Label,technology,badminton,violence,mecha,children
racket,0.7922422943051342,0.8348804821251276,0.7942646569221984,0.7928139534898251,0.7760743837738157
footstep,0.7820327264354097,0.7752801219411134,0.7779776380010608,0.7833429434669824,0.7821636024640467
happy,0.8085135093789919,0.7788200039034745,0.7804074557763241,0.778774720619321,0.8173661030928365
software,0.8777193345057729,0.765554383238648,0.7740338773272493,0.7978246104011187,0.8034162752727938
playground,0.797541193657153,0.8401120649777409,0.7948477330870393,0.7851297369057831,0.8220793310683495
AI,0.8416302938800155,0.775017566714249,0.7829218398569603,0.8077179684989835,0.8038626561318609
robotics,0.8608143980410266,0.8096067878315627,0.8044701023898758,0.8679978462711235,0.8020888369837654
cinema,0.8185760909176413,0.8041153697274744,0.8068982938710948,0.8085581363175672,0.7962369153454962
physics,0.8657551396504264,0.7966457050967506,0.8071941461520227,0.8085817711752356,0.8204521410969596
grip,0.8005790134127139,0.7823560598114838,0.7969964047334789,0.7987374639456085,0.775161389392685
assination,0.7937010132971751,0.7845335249181307,0.8588036453121041,0.775764931004232,0.7679439013793765
